Section,Claim,Supporting Sources,Pcc Status,Components,Implication For Pcc,Novelty Risk
3.1 Computational Theory of Mind and recursive actor models [1],"Recursive actor modeling is an established computational mechanism, not a PCC novelty claim. [1]",Interactive-POMDP and related frameworks treat recursive reasoning as integral to rational choice; empirical results observed mainly first- and second-level reasoning in human strategic tasks. [1],INHERITS [1],"C2, C3 [1]",Cite ToM and bounded-recursion work; do not claim novelty for representing nested perspectives. [1],High if PCC claims second-order belief representation as new. [1]
3.1 Computational Theory of Mind and recursive actor models [2] [3],Actor-indexed attributions should be modeled as uncertain and bounded rather than as recovered private mental states. [2] [3],"Uncertain-ToM work identifies uncertainty from communication, interpretation, and trust, and adds probability estimates to formal agent-communication semantics. [2] Computational-ToM work argues that exhaustive tracking of individual mental attitudes is impractical and proposes abstractions. [3]",ADAPTS [2] [3],"C2, C3, C6 [2] [3]","Define apparent task commitments as revisable hypotheses supported by interactional evidence, not claims about inaccessible minds. [2] [3]",Medium; the framing is defensible if PCC remains explicit about public evidence and action-state use. [2] [3]
3.1 Computational Theory of Mind and recursive actor models [4],Situated collaborative datasets can annotate beliefs about the world and about interaction partners. [4],MindCraft records collaborative Minecraft tasks and captures partners’ beliefs of the world and of each other while interaction unfolds. [4],INHERITS [4],"C2, C3, C8 [4]",Benchmark design should distinguish actor-indexed attributed states from publicly grounded action state. [4],High if PCC presents actor-indexed belief annotation as unprecedented. [4]
"3.2 Mutual Theory of Mind, grounding, and common ground [5] [6]","Common ground is a coordination resource requiring ongoing update, while ToM and public grounding are related but distinct. [5] [6]","Clark and Brennan define common ground as mutual knowledge, beliefs, and assumptions that must be updated during collective action. [5] A computational grounding model treats grounding as dynamics in dialogue participants’ information states. [6]",INHERITS [5] [6],"C2, C3, C4, C5 [5] [6]",Treat private-state attribution and public warrant as separate variables; neither should be used as a proxy for the other. [5] [6],Medium; conceptual distinction is useful but needs careful attribution rather than novelty language. [5] [6]
"3.2 Mutual Theory of Mind, grounding, and common ground [7]","Grounding can be operationalized through shared accepted propositions, multimodal evidence, and update rules. [7]","Common Ground Tracking identifies task-relevant propositions accepted by all participants, predicts common-ground construction from multimodal interactions, and applies situated-evidence closure rules. [7]",PARTIAL OVERLAP [7],"C2, C3, C4, C5 [7]","This is a primary near-equivalent comparator; distinguish PCC by operational state promotion, role/authority, and inspectable decision rationale. [7]",High. [7]
"3.2 Mutual Theory of Mind, grounding, and common ground [8]","Repair is a structured response to interactional trouble, rather than evidence that grounding has been achieved. [8]","Other-initiated repair has an inductively grounded, cross-linguistic annotation scheme tested in 12 languages. [8]",INHERITS [8],"C4, C6, C8 [8]",Position clarification and repair as possible controls after insufficient warrant is diagnosed. [8],High if PCC claims to introduce repair-oriented ambiguity handling. [8]
"3.3 Public commitment, warrant, and promotion into shared action state [9]",Public commitment and grounding have formal computational accounts. [9],Asher and Lascarides define grounding through shared public commitments and connect them to private attitudes in dynamic logic. [9],INHERITS [9],"C2, C3, C4, C5 [9]",Cite this lineage prominently; PCC cannot claim public commitment as a new construct. [9],Very high. [9]
"3.3 Public commitment, warrant, and promotion into shared action state [10]",Ambiguity can alter the evolution of common commitments in dialogue. [10],"Venant and Asher provide a dynamic commitment semantics for ambiguity and its effects on commitment evolution, including common commitments. [10]",PARTIAL OVERLAP [10],"C2, C3, C4, C5 [10]","Avoid claiming novelty for ambiguity-conditioned commitment evolution; test whether PCC adds workplace action-state, authorization, and warrant diagnostics. [10]",Very high. [10]
"3.3 Public commitment, warrant, and promotion into shared action state [11]",Situated dialogue models can update commitments and constrain subsequent action-relevant moves across modalities. [11],"Piwek’s model updates partner commitments, constrains possible dialogue moves, embeds communication in overall activity, and accommodates language, object manipulation, and gesture. [11]",PARTIAL OVERLAP [11],"C2, C4, C5 [11]",PCC must make its operational-promotion criterion and public-evidence trace more explicit than a commitment-update model. [11],High. [11]
"3.4 Action-sensitive ambiguity, clarification, and ask-versus-act decisions [12] [13]",Question choice and clarification have established value- and utility-sensitive formulations. [12] [13],Rao and Daumé rank clarification questions using expected value of perfect information. [12] Gervits et al. use a decision network with entropy-based utility for multimodal reference resolution. [13],INHERITS [12] [13],"C1, C6 [12] [13]",Do not frame action-sensitive ambiguity as a new concept; use this literature as baseline and motivation. [12] [13],Very high. [12] [13]
"3.4 Action-sensitive ambiguity, clarification, and ask-versus-act decisions [14]",The choice to clarify can depend jointly on uncertainty and the costs of wrong action. [14],Tsvilodub et al. formalize an expected-regret tradeoff and report that humans seek clarification in proportion to loss risk under uncertainty. [14],PARTIAL OVERLAP [14],"C1, C6, C8 [14]",PCC must distinguish its public-warrant/shared-state target from an individual act-versus-clarify policy. [14],Very high. [14]
3.5 Situated coordination in collaborative work [15],Cooperative work blends flexible alignment with predefined workflow rather than reducing coordination to either alone. [15],Schmidt and Simone contrast ad hoc alignment and improvisation with predefined workflow and argue that the modalities are blended in real work. [15],INHERITS [15],"C4, C5, C7 [15]","Model roles, policy, artifacts, and workflow state as context that informs warrant rather than as fixed substitutes for human coordination. [15]",Medium; PCC’s workplace focus is well motivated but not a new CSCW premise. [15]
3.5 Situated coordination in collaborative work [16],Articulation work can remain invisible in process representations and changes under automation. [16],"Novak and Lorenzi define articulation work as enabling distributed coordination, note its invisibility in flowcharts, and examine its transformation under barcode medication administration. [16]",ADAPTS [16],"C4, C5, C7, C8 [16]",Use inspection outputs to expose otherwise invisible coordination assumptions and state transitions. [16],Low for applying the idea to PCC; high for claiming to discover articulation work. [16]
"3.6 Observability, abstention, and contestability [17] [18]","Explainable collaboration requires reasoning over task and collaborator models, and uncertainty display alone may be insufficient for calibrated reliance. [17] [18]","Kambhampati links explainable collaborative behavior to reasoning over task and human mental models. [17] A pre-registered study found uncertainty displays alone did not improve team performance or user mental models, while capability-focused guidance improved correct self-reliance. [18]",ADAPTS [17] [18],"C6, C7, C8 [17] [18]","Evaluate whether evidence-plus-consequence displays improve diagnostic judgment and calibrated reliance, not merely whether they are shown. [17] [18]",Medium. [17] [18]
"3.6 Observability, abstention, and contestability [19]",Abstention can be paired with locally interpretable explanations of the decision to refrain. [19],A selective-classification method uses counterfactual distance to support explanations of whether a decision should be issued or withheld. [19],ADAPTS [19],"C6, C7, C8 [19]","Make abstention and request-for-clarification evidence-bearing outputs, not opaque non-actions. [19]",Medium. [19]
"3.7 Synthesis: PCC between attributed state and shared action [9, 7, 14, 20]","PCC’s safest provisional contribution is a combination: public-evidence-based diagnostic control over promotion into a role- and artifact-governed shared action state. [9, 7, 14, 20]","The current corpus separately establishes public-commitment grounding, multimodal common-ground updates, action-cost-sensitive clarification, and evidence-gated tool calls. [9, 7, 14, 20]","NEW COMBINATION — provisional [9, 7, 14, 20]","C1–C8 [9, 7, 14, 20]","State this as an audit hypothesis until full-text review tests whether any prior system already combines the entire mechanism. [9, 7, 14, 20]","Medium–high until the closest full texts are audited. [9, 7, 14, 20]"
"[1] Doshi et al., 2010. Modeling recursive reasoning by humans using empirically informed interactive POMDPs. Adaptive Agents and Multi-Agent Systems."
"[2] Sarkadi et al., 2018. Towards an Approach for Modelling Uncertain Theory of Mind in Multi-Agent Systems. International Conference on Agreement Technologies."
"[3] Erdoğan et al., 2024. Computational Theory of Mind with Abstractions for Effective Human-Agent Collaboration. Adaptive Agents and Multi-Agent Systems."
"[4] Bara et al., 2021. MindCraft: Theory of Mind Modeling for Situated Dialogue in Collaborative Tasks. Conference on Empirical Methods in Natural Language Processing."
"[5] Clark & Brennan, 1991. Grounding in communication. Perspectives on socially shared cognition."
"[6] Bunt et al., 2007. An Empirically Based Computational Model of Grounding in Dialogue. SIGDIAL Conferences."
"[7] Khebour et al., 2024. Common Ground Tracking in Multimodal Dialogue. International Conference on Language Resources and Evaluation."
"[8] Dingemanse et al., 2016. A Coding Scheme for Other-initiated Repair Across Languages. Open Linguistics."
"[9] Asher & Lascarides, 2008. Commitments , Beliefs and Intentions in Dialogue."
"[10] Venant & Asher, 2015. Dynamics of Public Commitments in Dialogue. International Conference on Computational Semantics."
"[11] Piwek, 1997. Situated action and commitment in dialogue. IPO Annual Progress Report."
"[12] Rao & Daumé, 2018. Learning to Ask Good Questions: Ranking Clarification Questions using Neural Expected Value of Perfect Information. Annual Meeting of the Association for Computational Linguistics."
"[13] Gervits et al., 2021. Decision-Theoretic Question Generation for Situated Reference Resolution: An Empirical Study and Computational Model. International Conference on Multimodal Interaction."
"[14] Tsvilodub et al., 2026. Act or Clarify? Modeling Sensitivity to Uncertainty and Cost in Communication. arXiv.org."
"[15] Schmidt & Simone, 2000. Cooperative work is seamless Integrating the support of the many modalities of articulation work."
"[16] Novak & Lorenzi, 2008. Barcode Medication Administration: Supporting Transitions in Articulation Work. American Medical Informatics Association Annual Symposium."
"[17] Kambhampati, 2019. Synthesizing Explainable Behavior for Human-AI Collaboration. Adaptive Agents and Multi-Agent Systems."
"[18] Schäfer et al., 2025. 'The AI is uncertain, so am I. What now?': Navigating Shortcomings of Uncertainty Representations in Human-AI Collaboration with Capability-focused Guidance. Proc. ACM Hum. Comput. Interact."
"[19] Bonsignori et al., 2026. “I Know That I Don’t know…and I Explain Why” Robust Abstention via Counterfactual Explanations. IEEE Access."
"[20] She et al., 2026. Safeguarding LLM Agents from Misalignment through Provenance Analysis."
