prototype_evidence_id,revision_batch,prototype_repository,commit_sha,evidence_type,scenario_id,context_condition,code_path,symbol_or_test,execution_command,output_artifact,observed_result,verification_status,limitations,verified_date
PEV-0001,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,implementation,not_applicable,not_applicable,scripts/generate_rev002_evidence.py,main,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/01-component-inventory/result.json,"Inventory found 11 expected implementation, test, scenario, and gold-label paths; result distinguishes implementation, demonstration, evaluation, and unestablished generalization.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0002,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,test,not_applicable,not_applicable,scripts/generate_rev002_evidence.py,main,python -m py_compile *.py; python -m unittest discover -s tests -v; python -m pytest -q,evidence/runs/REV-002/02-compilation-tests/result.json,py_compile exited 0; unittest exited 0 and ran 34 tests; pytest exited 0 and passed 34 tests; exact stdout and stderr are retained.,reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0003,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,test,not_applicable,not_applicable,tests/test_variable_extractor.py,test_extractor_does_not_use_hidden_labels,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/03-hidden-label-separation/result.json,"Across 52 scenarios, detector inputs contained 0 planted labels; gold_loaded_at_this_stage=false and the extractor signature has no gold-label parameter.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0004,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,test,STARTER_TEMPORAL_Q3_SINGLE_001,full_context,tests/test_variable_extractor.py,test_artifact_idd_not_used_by_default; test_answer_like_artifacts_cannot_change_default_extraction,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/04-artifact-idd-leakage/result.json,Canonical full-context extraction had artifact_baseline_present=false and artifact_idd_present=false; both safe-default switches were false and adversarial tests are named.,reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0005,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,machine_readable_output,not_applicable,full_context,scripts/generate_rev002_evidence.py,main,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/05-decision-branches/result.json,"Retained machine-readable examples contain distinct flag, reject, and abstain decision values with reasons and visible evidence fields.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0006,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,machine_readable_output,STARTER_TEMPORAL_Q3_SINGLE_001,full_context,variable_extractor.py,extract_coordination_critical_variables,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/06-q3-full-context/result.json,STARTER_TEMPORAL_Q3_SINGLE_001 full-context output flags quarter_system at score 0.927 with fiscal_Q3 and calendar_Q3 candidates and transcript/corpus evidence.,reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0007,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,machine_readable_output,STARTER_TEMPORAL_Q3_SINGLE_001,zero_context,variable_extractor.py,extract_coordination_critical_variables,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/07-q3-zero-context/result.json,"STARTER_TEMPORAL_Q3_SINGLE_001 zero-context output flags quarter_system at score 0.893, exposes transcript-only visible sources, uncertainty 0.38, and missing constraints fiscal_or_calendar and year.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0008,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,machine_readable_output,STARTER_AUTHORITY_APPROVAL_SINGLE_001,full_context,tests/test_variable_extractor.py,test_approval_extraction_flags_role_authority,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/08-approval-authority/result.json,STARTER_AUTHORITY_APPROVAL_SINGLE_001 full-context output flags final_approval_authority at score 0.938 with informal-review and final-authorization action alternatives.,reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0009,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,machine_readable_output,CONTROL_MEETING_GENERIC_001,full_context,tests/test_variable_extractor.py,test_meeting_negative_control_rejected,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/09-meeting-negative-control/result.json,CONTROL_MEETING_GENERIC_001 full-context output rejects harmless meeting/sync/call variation at score 0.414 with no material changed fields.,reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0010,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,machine_readable_output,SHOWCASE_Q3_001,full_context,detector.py,detect; make_state_snapshots,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/10-actor-indexed-cards/result.json,"Direct inspection of the retained SHOWCASE_Q3_001 artifact found Q3 first-order Coordinator/calendar_Q3_or_September_window at turn 2 and second-order Lead targeting Coordinator/fiscal_Q3_review_window at turn 1, with retained transcript evidence. General non-adjacent chronology remains unverified.",recorded_unverified,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states Second-order StateSnapshot timing currently assumes adjacency through card.onset_turn - 1 and has not been established for exchanges containing an intervening turn between the attributed cue and operationalizing commitment.",2026-07-29
PEV-0011,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,metric,not_applicable,mixed,extraction_evaluator.py,evaluate_extraction_all,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/11-step1-metrics/result.json,"Three-case smoke test at threshold 0.60, separately for zero/partial/full context: each context has TP=2, FP=0, FN=0; precision=2/2, recall=2/2, F1=1.0; control false-positive rate=0/1; evidence presence=2/2. Abstention accuracy and evidence-span overlap are not available.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states; bounded three-case smoke test, not a general performance estimate; abstention accuracy and evidence-span overlap unavailable",2026-07-29
PEV-0012,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,metric,not_applicable,mixed,evaluator.py,evaluate_all,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/12-detector-metrics/result.json,"52-scenario development benchmark uses micro (case_id, drift_type, variable_name) matching and case-level control FP. Retained raw numerators/denominators cover 15 mode/context rows (for example commitment_control: precision 44/54, recall 44/47, FP controls 0/11 in each context); full results are in JSON/CSV. Threshold is not specified in the retained detector-metric artifact; evidence-span overlap is not available.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states; threshold is not specified in the retained detector-metric artifact; evidence-span overlap is unavailable because gold labels lack structured span boundaries; development benchmark only",2026-07-29
PEV-0013,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,implementation,not_applicable,not_applicable,scripts/generate_rev002_evidence.py,main,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/13-implementation-status/result.json,"Inventory classifies visible-context extraction, distinct decisions, actor-indexed snapshots, and post-detection evaluation as implemented; bounded named cases as demonstrated/evaluated; and generalization, comparative advantage, naturalistic reliability, and novelty as not established.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0014,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,limitation,not_applicable,not_applicable,scripts/generate_rev002_evidence.py,main,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/14-figure-table-provenance/result.json,"Retained classifications distinguish conceptual diagrams, artifact-generated tables/charts, a static reconstruction, and supplementary live-app screenshots; proposal files were not independently inspected.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states",2026-07-29
PEV-0015,REV-002,dollja/interpretive-drift-protoype,c9a38d833de1262cc2a8be0bdaaa1ee9ba777ed4,limitation,not_applicable,not_applicable,scripts/generate_rev002_evidence.py,main,python scripts/generate_rev002_evidence.py,evidence/runs/REV-002/15-operational-limitations/result.json,"Retained operational boundaries include synthetic-only scope, smoke-test and development-benchmark limits, unavailable abstention accuracy/span overlap, no comparative advantage/generalization/novelty, and no private-state recovery. Added closure limitation: second-order StateSnapshot timing assumes adjacency via card.onset_turn - 1 and is not established with an intervening turn.",reproduced,"bounded repository-owned synthetic scenarios; does not establish comparative advantage, novelty, or naturalistic generalization; actor-indexed states are evidence-backed hypotheses, not private mental states Second-order StateSnapshot timing currently assumes adjacency through card.onset_turn - 1 and has not been established for exchanges containing an intervening turn between the attributed cue and operationalizing commitment.",2026-07-29
