mapping_id,proposal_files,change,related_records,record_ref,evidence_status,prototype_mapping,required_follow_up
MAP-01,thesis.tex;pages/title.tex,Formatting and front matter,DEC-0002;DEC-0011,main,proposal formatting; no scientific-status change,No prototype change,Keep canonical title; role labels in repository copy; class checksum unchanged
MAP-02,pages/abstract.tex;chapters/01_introduction.tex;chapters/03_problem_rqs.tex,Operational target separated from LPM,CLM-0035;CLM-0036;DEC-0025,PR41@c997a1212bb7523911d7ea5dc256b8e8d51ca0bc,Stage 1 author-selected scope; detailed operationalization pending review,schemas.py; distinct warrant and LPM fields proposed,Resolve collisions with PR39 and PR40 before merging registers
MAP-03,chapters/01_introduction.tex,LPM and interpretive drift definitions,CLM-0024;CLM-0025;DEC-0012,main,Existing definitions retained,Actor state remains evidence-bounded,Do not make audit warning a proxy for actual LPM
MAP-04,chapters/02_background.tex,Grounding and commitment predecessors,CLM-0004;CLM-0005;CLM-0007;CLM-0008;CLM-0009;SRC-0002;SRC-0003;SRC-0004;SRC-0010;SRC-0036,main,Claim wording map requires review; source verification status unchanged,No implementation implication,Reconcile chapter organization and comparator coverage with proposal PR8; do not close SCM-0022..0045
MAP-05,chapters/02_background.tex;pages/bib.tex;references_additions.bib,Planning and methodological references,CLM-0020;CLM-0029;CLM-0032,main; new source registration pending,Six supplemental citation records; source-ID/Zotero reconciliation pending,Workflow comparator proposed,Do not treat citation compilation or URL verification as a registered mechanism audit
MAP-06,chapters/03_problem_rqs.tex,Three-valued warrant and observation boundary,CLM-0031;CLM-0032;CLM-0035,main plus PR41@c997a1212bb7523911d7ea5dc256b8e8d51ca0bc,Draft operationalization; no new accuracy claim,commitment_gate.py; schemas.py; add rule/event/version/authority/deadline records,Current maxim-risk gate is not the proposed requirement audit
MAP-07,chapters/03_problem_rqs.tex;chapters/07_appendix_prototype.tex,Repair before and after action,CLM-0031;CLM-0032;PEV-0016;PEV-0017,main; prototype PR17@4f550a323ac30da1c603fcc5264b98d08b157dc3,PEV-0016/0017 recorded_unverified,research_examples/episode_history/scripts/replay_example.py in PR17; event-bound repair evaluation proposed,PR17 remains unmerged; retain historical events; reproduce exact commit before status promotion
MAP-08,chapters/03_problem_rqs.tex;chapters/04_study_plan.tex,Candidate screening versus audit decisions,CLM-0022;CLM-0033;DEC-0009,main,Proposed semantic separation,extraction_schemas.py; variable_extractor.py; detector.py; separate candidate_selected from final flag,Preserve flag/reject/abstain; add pending_action and insufficient_evidence reasons
MAP-09,chapters/03_problem_rqs.tex;chapters/04_study_plan.tex,Supplied facts and bounded automatic construction,CLM-0020;CLM-0022;PEV-0018;PEV-0019,main,Supplied-state primary proposed; automatic secondary scope pending committee decision,schemas.py; variable_extractor.py; separate detector inputs from reference verdicts,No gold warrant/target label in supplied-state inputs; no automatic extraction success claimed
MAP-10,chapters/04_study_plan.tex,Independent pilot and benchmark freezes,CLM-0023;PEV-0018;PEV-0019;DEC-0015,main; AI inventory PR39@9f2fa2264247e524af156e3af2d5f2dddd4f92bd,Pilot/main planned; AI authorship persists after annotation,"Versioned rule packs, family splits, blind forms and uncertainty scoring proposed",Three freezes: inventory; pilot-informed protocol; annotated final dataset
MAP-11,chapters/04_study_plan.tex;chapters/05_contributions.tex,Credible computational comparisons,CLM-0020;CLM-0034;NOV-0001,main,Planned comparisons; novelty candidate,detector.py baseline functions require independent replacements; evaluator.py planned metrics,case.control shortcut remains in inspected legacy path; exclude or remove from evaluated detector inputs
MAP-12,chapters/04_study_plan.tex;chapters/05_contributions.tex;chapters/06_timeline.tex,Contingent diagnostic utility study,CLM-0022;CLM-0026;CLM-0033,main,Proposed contingency; committee/institutional determination pending,No human-benefit claim from the existing UI,Reference annotation remains needed; utility study is distinct from actual-LPM evidence
MAP-13,chapters/06_timeline.tex,Weeks 3–6 dependencies,PEV-0018;PEV-0019,main,Working schedule; no work-week completion certification,Implementation may proceed while independent judgments remain pending,Freeze criteria and main sample-size rationale remain unresolved
MAP-14,chapters/07_appendix_prototype.tex,Historical construction reports,PEV-0016;PEV-0017;PEV-0018;PEV-0019,main; September 7 source package separately,ACS30/actor-state36 retained reports; not new reproduction,Historical 567e272af4697787059fdba1306def441b669e07; not current main,"PEV-0016/0017 refer to the separate episode-history example, not identifiers for the two historical tables"
