episode_id,episode_version,structural_gate,task_coherence_review,independent_rule_review,source_sensitivity_review,human_acceptance,reviewer_id,review_date,decision,revision_required,notes,author_acceptance,author_reviewer_id,author_decision_date,author_reason,author_decision_id
E001,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E002,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E003,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E004,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E005,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E006,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E007,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E008,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E009,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E010,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E011,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E012,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E013,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E014,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E015,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E016,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E017,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E018,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E019,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E020,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E021,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E022,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E023,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E024,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E025,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E026,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E027,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E028,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E029,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
E030,0.1.0,PASS,pending,pending,pending,pending,,,,,,Accept,author_review,2026-09-13,Author instructed acceptance of this episode version as candidate material; no independent-review rationale supplied.,DEC-0025
