citation_key,source_id,register_verification_status,action
Amershi2019,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
ArtsteinPoesio2008,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
AsherLascarides2008,SRC-0002,fulltext_verified,Reconcile key with Zotero; paragraph/source fit remains reviewable
Chakraborti2017,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Clark1996,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
ClarkBrennan1991,SRC-0001,imported_unverified,Reconcile key with Zotero; paragraph/source fit remains reviewable
FrankGoodman2012,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Gardner2020,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
GoodmanFrank2016,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Grice1975,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
GroszKraus1996,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Hutchins1995,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Khebour2024,SRC-0010,fulltext_verified,Reconcile key with Zotero; paragraph/source fit remains reviewable
Klein2005,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Leech1983,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Miller2019,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Piwek1997,SRC-0004,fulltext_verified,Reconcile key with Zotero; paragraph/source fit remains reviewable
Piwek2000,SRC-0036,fulltext_verified,Reconcile key with Zotero; paragraph/source fit remains reviewable
Rabinowitz2018,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Ribeiro2020,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Schegloff1977,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
SheLiangKang2026,SRC-0021,fulltext_verified,Reconcile key with Zotero; paragraph/source fit remains reviewable
Stalnaker2002,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Suchman1987,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
Traum1994,,no_matched_source_record,Register/reconcile citation and exact mechanism claim before canonical evidence mapping
VenantAsher2015,SRC-0003,fulltext_verified,Reconcile key with Zotero; paragraph/source fit remains reviewable
