claim_id,claim_text,claim_type,claim_strength,status,proposal_location,components,pcc_relation,implication_for_pcc,novelty_risk,origin,last_reviewed
CLM-0001,"Recursive actor modeling is an established computational mechanism, not a PCC novelty claim.",theoretical,descriptive,imported_unverified,3.1 Computational Theory of Mind and recursive actor models,PCC-C02;PCC-C03,INHERITED,Cite ToM and bounded-recursion work; do not claim novelty for representing nested perspectives.,High if PCC claims second-order belief representation as new.,Elicit claim-source matrix import,2026-07-24
CLM-0002,Actor-indexed attributions should be modeled as uncertain and bounded rather than as recovered private mental states.,methodological,descriptive,imported_unverified,3.1 Computational Theory of Mind and recursive actor models,PCC-C02;PCC-C03;PCC-C06,ADAPTED,"Define apparent task commitments as revisable hypotheses supported by interactional evidence, not claims about inaccessible minds.",Medium; the framing is defensible if PCC remains explicit about public evidence and action-state use.,Elicit claim-source matrix import,2026-07-24
CLM-0003,Situated collaborative datasets can annotate beliefs about the world and about interaction partners.,theoretical,descriptive,imported_unverified,3.1 Computational Theory of Mind and recursive actor models,PCC-C02;PCC-C03;PCC-C08,INHERITED,Benchmark design should distinguish actor-indexed attributed states from publicly grounded action state.,High if PCC presents actor-indexed belief annotation as unprecedented.,Elicit claim-source matrix import,2026-07-24
CLM-0004,"Common ground is a coordination resource requiring ongoing update, while ToM and public grounding are related but distinct.",theoretical,descriptive,imported_unverified,"3.2 Mutual Theory of Mind, grounding, and common ground",PCC-C02;PCC-C03;PCC-C04;PCC-C05,INHERITED,Treat private-state attribution and public warrant as separate variables; neither should be used as a proxy for the other.,Medium; conceptual distinction is useful but needs careful attribution rather than novelty language.,Elicit claim-source matrix import,2026-07-24
CLM-0005,"Grounding can be operationalized through shared accepted propositions, multimodal evidence, and update rules.",boundary,descriptive,imported_unverified,"3.2 Mutual Theory of Mind, grounding, and common ground",PCC-C02;PCC-C03;PCC-C04;PCC-C05,NEAR_EQUIVALENT,"This is a primary near-equivalent comparator; distinguish PCC by operational state promotion, role/authority, and inspectable decision rationale.",High.,Elicit claim-source matrix import,2026-07-24
CLM-0006,"Repair is a structured response to interactional trouble, rather than evidence that grounding has been achieved.",theoretical,descriptive,imported_unverified,"3.2 Mutual Theory of Mind, grounding, and common ground",PCC-C04;PCC-C06;PCC-C08,INHERITED,Position clarification and repair as possible controls after insufficient warrant is diagnosed.,High if PCC claims to introduce repair-oriented ambiguity handling.,Elicit claim-source matrix import,2026-07-24
CLM-0007,Public commitment and grounding have formal computational accounts.,theoretical,descriptive,imported_unverified,"3.3 Public commitment, warrant, and promotion into shared action state",PCC-C02;PCC-C03;PCC-C04;PCC-C05,INHERITED,Cite this lineage prominently; PCC cannot claim public commitment as a new construct.,Very high.,Elicit claim-source matrix import,2026-07-24
CLM-0008,Ambiguity can alter the evolution of common commitments in dialogue.,boundary,descriptive,imported_unverified,"3.3 Public commitment, warrant, and promotion into shared action state",PCC-C02;PCC-C03;PCC-C04;PCC-C05,NEAR_EQUIVALENT,"Avoid claiming novelty for ambiguity-conditioned commitment evolution; test whether PCC adds workplace action-state, authorization, and warrant diagnostics.",Very high.,Elicit claim-source matrix import,2026-07-24
CLM-0009,Situated dialogue models can update commitments and constrain subsequent action-relevant moves across modalities.,boundary,descriptive,imported_unverified,"3.3 Public commitment, warrant, and promotion into shared action state",PCC-C02;PCC-C04;PCC-C05,NEAR_EQUIVALENT,PCC must make its operational-promotion criterion and public-evidence trace more explicit than a commitment-update model.,High.,Elicit claim-source matrix import,2026-07-24
CLM-0010,Question choice and clarification have established value- and utility-sensitive formulations.,theoretical,descriptive,imported_unverified,"3.4 Action-sensitive ambiguity, clarification, and ask-versus-act decisions",PCC-C01;PCC-C06,INHERITED,Do not frame action-sensitive ambiguity as a new concept; use this literature as baseline and motivation.,Very high.,Elicit claim-source matrix import,2026-07-24
