episode_id,episode_version,structural_gate,task_coherence_review,independent_rule_review,source_sensitivity_review,human_acceptance,reviewer_id,review_date,decision,revision_required,notes
E001,0.1.0,PASS,pending,pending,pending,pending,,,,,
E002,0.1.0,PASS,pending,pending,pending,pending,,,,,
E003,0.1.0,PASS,pending,pending,pending,pending,,,,,
E004,0.1.0,PASS,pending,pending,pending,pending,,,,,
E005,0.1.0,PASS,pending,pending,pending,pending,,,,,
E006,0.1.0,PASS,pending,pending,pending,pending,,,,,
E007,0.1.0,PASS,pending,pending,pending,pending,,,,,
E008,0.1.0,PASS,pending,pending,pending,pending,,,,,
E009,0.1.0,PASS,pending,pending,pending,pending,,,,,
E010,0.1.0,PASS,pending,pending,pending,pending,,,,,
E011,0.1.0,PASS,pending,pending,pending,pending,,,,,
E012,0.1.0,PASS,pending,pending,pending,pending,,,,,
E013,0.1.0,PASS,pending,pending,pending,pending,,,,,
E014,0.1.0,PASS,pending,pending,pending,pending,,,,,
E015,0.1.0,PASS,pending,pending,pending,pending,,,,,
E016,0.1.0,PASS,pending,pending,pending,pending,,,,,
E017,0.1.0,PASS,pending,pending,pending,pending,,,,,
E018,0.1.0,PASS,pending,pending,pending,pending,,,,,
E019,0.1.0,PASS,pending,pending,pending,pending,,,,,
E020,0.1.0,PASS,pending,pending,pending,pending,,,,,
E021,0.1.0,PASS,pending,pending,pending,pending,,,,,
E022,0.1.0,PASS,pending,pending,pending,pending,,,,,
E023,0.1.0,PASS,pending,pending,pending,pending,,,,,
E024,0.1.0,PASS,pending,pending,pending,pending,,,,,
E025,0.1.0,PASS,pending,pending,pending,pending,,,,,
E026,0.1.0,PASS,pending,pending,pending,pending,,,,,
E027,0.1.0,PASS,pending,pending,pending,pending,,,,,
E028,0.1.0,PASS,pending,pending,pending,pending,,,,,
E029,0.1.0,PASS,pending,pending,pending,pending,,,,,
E030,0.1.0,PASS,pending,pending,pending,pending,,,,,
