link_id,claim_id,decision_id,relation,notes
CD-0001,CLM-0017,DEC-0004,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0002,CLM-0018,DEC-0005,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0003,CLM-0019,DEC-0006,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0004,CLM-0020,DEC-0007,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0005,CLM-0021,DEC-0008,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0006,CLM-0022,DEC-0009,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0007,CLM-0023,DEC-0003,AUTHORIZED_BY,Canonical author decision; not a substitute for scholarly evidence.
CD-0008,CLM-0024,DEC-0012,AUTHORIZED_BY,REV-001 author-confirmed construct definition; not a substitute for scholarly evidence.
CD-0009,CLM-0025,DEC-0012,AUTHORIZED_BY,REV-001 author-confirmed construct definition; not a substitute for scholarly evidence.
CD-0010,CLM-0026,DEC-0009,AUTHORIZED_BY,DEC-0009 authorizes the detection-only diagnostic boundary; not a substitute for scholarly evidence.
CD-0011,CLM-0017,DEC-0013,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0012,CLM-0020,DEC-0013,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0013,CLM-0020,DEC-0014,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0014,CLM-0023,DEC-0014,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0015,CLM-0022,DEC-0015,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0016,CLM-0023,DEC-0015,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0017,CLM-0020,DEC-0016,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0018,CLM-0022,DEC-0016,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0019,CLM-0023,DEC-0016,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0020,CLM-0022,DEC-0017,AUTHORIZED_BY,REV-002 author-confirmed operational decision; not a substitute for scholarly evidence.
CD-0021,CLM-0027,DEC-0004,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0022,CLM-0027,DEC-0005,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0023,CLM-0027,DEC-0006,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0024,CLM-0027,DEC-0007,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0025,CLM-0027,DEC-0008,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0026,CLM-0027,DEC-0009,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0027,CLM-0027,DEC-0010,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0028,CLM-0027,DEC-0022,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0029,CLM-0027,DEC-0023,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0030,CLM-0028,DEC-0005,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0031,CLM-0028,DEC-0006,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0032,CLM-0028,DEC-0009,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0033,CLM-0029,DEC-0007,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
CD-0034,CLM-0030,DEC-0007,GOVERNS,"Applies the author-confirmed architecture, scope, terminology, taxonomy, or novelty boundary to this claim."
