anchor,path,mapping_rows,related_claims,source_records,unregistered_citation_keys,review_status
SEP17-01-P001,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P002,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P003,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P004,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P005,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P006,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P007,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0024;CLM-0025,,,proposed_explanation_of_author_scope
SEP17-01-P008,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P009,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P010,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P011,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P012,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P013,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P014,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P015,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P016,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P017,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P018,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-01-P019,chapters/01_introduction.tex,MAP-02;MAP-03,CLM-0023;CLM-0026;CLM-0035;CLM-0036,,,proposed_explanation_of_author_scope
SEP17-02-P001,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P002,chapters/02_background.tex,MAP-04;MAP-05,,,FrankGoodman2012;GoodmanFrank2016;Grice1975;Leech1983,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P003,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
SEP17-02-P004,chapters/02_background.tex,MAP-04;MAP-05,,,,literature_synthesis_or_proposed_comparison;paragraph_mapping_pending_review
