source_id,elicit_key,zotero_key,title,authors,year,doi,url,source_type,metadata_authority,verification_status,retrieval_status,notes
SRC-0001,18c4d349d46555170786f8f30c98af0b,,Grounding in communication,H. Clark and S. Brennan,1991,10.1037/10096-006,http://www.math.caltech.edu/SimonPapers/41.pdf,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0002,18c4d3463556efee6f5f102bc92534ea,,"Commitments , Beliefs and Intentions in Dialogue",Nicholas Asher and A. Lascarides,2008,,https://www.semanticscholar.org/paper/7a22a4b2e7d70a997cb2be2ae3b10affd81dd0db,literature,provisional_elicit,fulltext_verified,fulltext_audit_complete,"Exact-version mechanism audit completed from imports/raw/literature/REV-003A/SRC-0002_asher_lascarides_2008_londial.pdf (SHA-256 b1ee3b83b64d498f04306c7618d4ab789ea89c78f7eb3595037412cf82b3e3e4). Formal per-agent public commitments, grounding, defeasible attitude update, and qualitative move preference verified; no implementation/evaluation, organizational authority/workflow, abstention, or diagnostic appeal located. Zotero remains bibliographic metadata authority."
SRC-0003,18c4d349d6ae446aab4190800e7f6e41,,Dynamics of Public Commitments in Dialogue,Antoine Venant and Nicholas Asher,2015,,https://www.semanticscholar.org/paper/ec491f5472bde52b6997dfb93874eb4e68cbdd10,literature,provisional_elicit,fulltext_verified,fulltext_audit_complete,"Exact-version mechanism audit completed from imports/raw/literature/REV-003A/SRC-0003_venant_asher_2015_iwcs.pdf (SHA-256 3aa59f34f28d3c0b1f657f84a754bc3253e24eb10bf9de136eb06944e5df75e3). Formal ambiguous alternatives, nested/common commitments, acknowledgement, denial, and self-correction verified; no implementation/evaluation, organizational action governance, calibrated abstention, or diagnostic appeal located. Zotero remains bibliographic metadata authority."
SRC-0004,18c4d349d6ac33d82f7f9a4b845f2918,,Situated action and commitment in dialogue,Pla Paul Piwek,1997,10.1037/e490652004-001,https://www.semanticscholar.org/paper/1cff5f336b1eae3f3ec380d88e9b2b904976e8ea,literature,provisional_elicit,fulltext_verified,fulltext_audit_complete,"Exact image-only scan of IPO Annual Progress Report 32 (1997), printed pages 89-97, audited at imports/raw/literature/REV-003B/SRC-0004_piwek_1997_situated.pdf (SHA-256 338b24096b8acf12d87e48a34fac3f3207b22799507e4efb4fcfe3a039a73a67). Verified scope: agent-associated own/other commitment state; explicit public/shared commitments; Transparency and Discussion update rules; multimodal action evidence; commitment-constrained physical action; and reported use of substantial model parts in DenK. Residual after scoped review: no explicit action-sensitive candidate-value comparison, calibrated uncertainty/cost/abstention, formal organizational authority or permission, durable workflow-artifact governance, participant-facing diagnostic rationale or appeal, or empirical evaluation. Searchable PDF and OCR text are non-authoritative reading aids; verify quotations against the raw scan. The scan shows P.L.A. Piwek; reconcile author metadata in Zotero rather than silently correcting it here. SRC-0036 remains a separate 2000 comparator."
SRC-0005,18c4d34632115fe180bc08f78ed09f30,,Managing ambiguities across utterances in dialogue,David DeVault and Matthew Stone,2007,,https://www.semanticscholar.org/paper/d6cd1e112907f6449fd1233f5a3e6982367ed46b,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0006,18c4d346321b21b20df83c64beabaf53,,Learning to Ask Good Questions: Ranking Clarification Questions using Neural Expected Value of Perfect Information,Sudha Rao and Hal Daumé,2018,10.18653/v1/P18-1255,https://www.aclweb.org/anthology/P18-1255.pdf,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0007,18c4d3463215977bf366443b1df10993,,Act or Clarify? Modeling Sensitivity to Uncertainty and Cost in Communication,Polina Tsvilodub and Karl Mulligan and Todd Snider and Robert D. Hawkins and Michael Franke,2026,10.48550/arXiv.2602.02843,https://www.semanticscholar.org/paper/750c14ca915313b8429ba6b6a798e10592096093,literature,provisional_elicit,fulltext_verified,fulltext_audit_complete,Exact arXiv:2602.02843v3 audited from committed PDF at imports/raw/literature/REV-003B/SRC-0007_tsvilodub_et_al_2026_arxiv_v3.pdf (SHA-256 324b61fb388af4db1de1449fda5308df55d069de4ec1548c4e28370264621a44). Verified scope: expected-regret ask-versus-act model and two experiments; no PCC-style public-warrant/shared-state promotion was located. Zotero remains bibliographic metadata authority pending reconciliation.
SRC-0008,18c4d3463219467a8451366deb7c76ab,,Decision-Theoretic Question Generation for Situated Reference Resolution: An Empirical Study and Computational Model,Felix Gervits and Gordon Briggs and Antonio Roque and Genki A. Kadomatsu and Dean Thurston and matthias. scheutz and M. Marge,2021,10.1145/3462244.3479925,https://arxiv.org/pdf/2110.06288,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0009,18c4d346321e9eace351d49355d4cf8f,,Aligning Predictive Uncertainty with Clarification Questions in Grounded Dialog,Kata Naszádi and Putra Manggala and C. Monz,2023,10.18653/v1/2023.findings-emnlp.999,https://aclanthology.org/2023.findings-emnlp.999.pdf,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0010,18c4d34636c0a784a083109be9d894df,,Common Ground Tracking in Multimodal Dialogue,Ibrahim Khebour and Kenneth Lai and Mariah Bradford and Yifan Zhu and Richard Brutti and Christopher Tam and Jingxuan Tu and Benjamin Ibarra and Nathaniel Blanchard and Nikhil Krishnaswamy and James Pustejovsky,2024,10.48550/arXiv.2403.17284,https://arxiv.org/pdf/2403.17284,literature,provisional_elicit,fulltext_verified,fulltext_audit_complete,"Exact-version mechanism audit completed from imports/raw/literature/REV-003A/SRC-0010_khebour_et_al_2024_lrec_coling.pdf (SHA-256 0c6fb58d3310a34f95af014b64f331a74556e74d5736892fc252e0da4943ae4d). Implemented/evaluated multimodal FBank/EBank/QBank tracker and closure verified; no formal organizational authority/workflow governance, calibrated abstention, or participant contest of tracker decisions located. Zotero remains bibliographic metadata authority."
SRC-0011,18c4d34636c32672a93c156becefc848,,MindDial: Belief Dynamics Tracking with Theory-of-Mind Modeling for Situated Neural Dialogue Generation,Shuwen Qiu and Song-Chun Zhu and Zilong Zheng,2023,10.48550/arXiv.2306.15253,https://arxiv.org/pdf/2306.15253,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0012,18c4d34636ca4edbae2e614fd0d7362c,,Knowledge Modelling for Establishment of Common Ground in Dialogue Systems,Lina Varonina and Stefan Kopp,2021,10.4000/ijcol.797,https://journals.openedition.org/ijcol/pdf/797,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0013,18c4d349d4fcbee565152ded565079ad,,Conversational Grounding: Annotation and Analysis of Grounding Acts and Grounding Units,Biswesh Mohapatra and Seemab Hassan and Laurent Romary and Justine Cassell,2024,10.48550/arXiv.2403.16609,https://arxiv.org/pdf/2403.16609,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0014,18c4d349d4f3597588810d042d24edc7,,An Empirically Based Computational Model of Grounding in Dialogue,Harry Bunt and R. Morante and Simon Keizer and Harry Bunt and Tim Paek,2007,10.18653/v1/2007.sigdial-1.49,https://aclanthology.org/2007.sigdial-1.49.pdf,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0015,18c4d349d469a75440f47941d9873657,,"Grounding needs: achieving common ground via lightweight chat in large, distributed, ad-hoc groups",Jeremy P. Birnholtz and Thomas A. Finholt and Daniel B. Horn and S. Bae,2005,10.1145/1054972.1054976,https://www.semanticscholar.org/paper/5c46ccfe9cbfe34fee822a1e9adbaaf82e9e54e6,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0016,18c4d3462f66437299da4f54eb90d74a,,Taking Articulation Work Seriously,Thomas Erickson and D. McDonald,2007,,https://www.semanticscholar.org/paper/d4ef14b8778f4543ba7c4dfe7a22af8f3338d9f9,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
SRC-0017,18c4d3462f5e1bd1a16709b3beee3195,,Cooperative work is seamless Integrating the support of the many modalities of articulation work,K. Schmidt and C. Simone,2000,,https://www.semanticscholar.org/paper/7c042935b9058138191198636371fa641b58cc0b,literature,provisional_elicit,imported_unverified,starter_bib_imported,Imported from the Elicit starter corpus; reconcile metadata and citation key in Zotero and verify mechanism claims against full text.
