link_id,claim_id,prototype_evidence_id,relation,wording_ceiling,notes
CPE-0001,CLM-0020,PEV-0001,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-01 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0002,CLM-0022,PEV-0001,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-01 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0003,CLM-0020,PEV-0002,TESTS,implementation_only,"Supports only the implementation only reading of tests for the bounded PEV-REQUEST-02 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0004,CLM-0022,PEV-0002,TESTS,implementation_only,"Supports only the implementation only reading of tests for the bounded PEV-REQUEST-02 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0005,CLM-0022,PEV-0003,TESTS,implementation_only,"Supports only the implementation only reading of tests for the bounded PEV-REQUEST-03 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0006,CLM-0026,PEV-0003,TESTS,implementation_only,"Supports only the implementation only reading of tests for the bounded PEV-REQUEST-03 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0007,CLM-0022,PEV-0004,TESTS,implementation_only,"Supports only the implementation only reading of tests for the bounded PEV-REQUEST-04 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0008,CLM-0026,PEV-0004,TESTS,implementation_only,"Supports only the implementation only reading of tests for the bounded PEV-REQUEST-04 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0009,CLM-0022,PEV-0005,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-05 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0010,CLM-0020,PEV-0006,DEMONSTRATES,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of demonstrates for the bounded PEV-REQUEST-06 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0011,CLM-0023,PEV-0006,DEMONSTRATES,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of demonstrates for the bounded PEV-REQUEST-06 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0012,CLM-0020,PEV-0007,DEMONSTRATES,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of demonstrates for the bounded PEV-REQUEST-07 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0013,CLM-0022,PEV-0007,DEMONSTRATES,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of demonstrates for the bounded PEV-REQUEST-07 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0014,CLM-0020,PEV-0008,DEMONSTRATES,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of demonstrates for the bounded PEV-REQUEST-08 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0015,CLM-0023,PEV-0008,DEMONSTRATES,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of demonstrates for the bounded PEV-REQUEST-08 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0016,CLM-0020,PEV-0009,TESTS,controlled_synthetic_demonstration,"Supports only the controlled synthetic demonstration reading of tests for the bounded PEV-REQUEST-09 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0017,CLM-0017,PEV-0010,PARTIALLY_OPERATIONALIZES,implementation_only,"Supports only the implementation only reading of partially operationalizes for the bounded PEV-REQUEST-10 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0018,CLM-0022,PEV-0010,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-10 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0019,CLM-0017,PEV-0010,DOES_NOT_YET_EVALUATE,limitation_only,"Records that generalized non-adjacent second-order chronology has not been evaluated because timing assumes adjacency via card.onset_turn - 1. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0020,CLM-0020,PEV-0011,TESTS,current_benchmark_result,"Supports only the current benchmark result reading of tests for the bounded PEV-REQUEST-11 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0021,CLM-0023,PEV-0011,DEMONSTRATES,current_benchmark_result,"Supports only the current benchmark result reading of demonstrates for the bounded PEV-REQUEST-11 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0022,CLM-0022,PEV-0012,TESTS,current_benchmark_result,"Supports only the current benchmark result reading of tests for the bounded PEV-REQUEST-12 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0023,CLM-0023,PEV-0012,DEMONSTRATES,current_benchmark_result,"Supports only the current benchmark result reading of demonstrates for the bounded PEV-REQUEST-12 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0024,CLM-0020,PEV-0013,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-13 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0025,CLM-0022,PEV-0013,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-13 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0026,CLM-0022,PEV-0014,ESTABLISHES_LIMITATION,limitation_only,"Supports only the limitation only reading of establishes limitation for the bounded PEV-REQUEST-14 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0027,CLM-0017,PEV-0015,ESTABLISHES_LIMITATION,limitation_only,"Supports only the limitation only reading of establishes limitation for the bounded PEV-REQUEST-15 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0028,CLM-0019,PEV-0015,DOES_NOT_YET_EVALUATE,future_work_only,"Supports only the future work only reading of does not yet evaluate for the bounded PEV-REQUEST-15 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0029,CLM-0020,PEV-0015,ESTABLISHES_LIMITATION,limitation_only,"Supports only the limitation only reading of establishes limitation for the bounded PEV-REQUEST-15 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0030,CLM-0022,PEV-0015,ESTABLISHES_LIMITATION,limitation_only,"Supports only the limitation only reading of establishes limitation for the bounded PEV-REQUEST-15 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0031,CLM-0023,PEV-0015,ESTABLISHES_LIMITATION,limitation_only,"Supports only the limitation only reading of establishes limitation for the bounded PEV-REQUEST-15 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
CPE-0032,CLM-0026,PEV-0015,IMPLEMENTS,implementation_only,"Supports only the implementation only reading of implements for the bounded PEV-REQUEST-15 artifact. Does not establish theoretical or scholarly validity, private mental states, autonomous repair, comparative advantage, naturalistic reliability, generalization, novelty, or priority."
