provenance_id,component_id,source_id,prior_work_contribution,pcc_adopts,pcc_changes,pcc_extends,provenance_relation,evidence_locator,verification_status
CP-0001,PCC-C03,SRC-0028,Interactive-POMDP work operationalizes bounded recursive reasoning about other agents.,Recursive actor-indexed state as an established mechanism.,Limits the target to apparent task interpretations and commitments.,Connects recursive state to public warrant and coordination consequences.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0002,PCC-C02,SRC-0029,MindCraft annotates situated collaborative tasks with beliefs about the world and interaction partners.,Actor-indexed annotation in collaborative dialogue.,Uses apparent commitments and public evidence rather than asserting recovered private beliefs.,"Adds warrant, promotion, and action-sensitive diagnostic evaluation.",METHOD_BORROWED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0003,PCC-C03,SRC-0029,MindCraft supplies a situated benchmark precedent for partner-model annotations.,Partner-indexed state labels.,"Restricts recursion to task-critical, evidence-backed hypotheses.",Tests second-order contribution against first-order and transcript baselines.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0004,PCC-C07,SRC-0027,Uncertain Theory-of-Mind work explicitly represents uncertainty arising from communication and interpretation.,Uncertainty as a first-class field.,Uses uncertainty to support abstention in a diagnostic workflow.,Exposes missing public evidence and contestable reasons.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0005,PCC-C03,SRC-0026,Computational Theory-of-Mind abstractions address the impracticality of exhaustive mental-state tracking.,Bounded abstraction rather than exhaustive mind modeling.,Uses a controlled coordination-variable ontology.,"Links bounded state to evidence, warrant, and action divergence.",ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0006,PCC-C04,SRC-0001,Grounding theory treats common ground as a coordination resource maintained during joint activity.,Public grounding as the evidentiary background.,Separates public evidence from actor-indexed attributed state.,Makes evidence sufficiency inspectable at a promotion decision.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0007,PCC-C04,SRC-0014,A computational grounding model represents grounding as updates to dialogue participants’ information states.,Incremental update of publicly relevant state.,Tracks evidence about task variables rather than full dialogue state.,Adds role- and artifact-sensitive promotion consequences.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0008,PCC-C04,SRC-0010,Common Ground Tracking represents task-relevant shared propositions using multimodal situated evidence.,Evidence-backed shared-state tracking.,Maintains actor-indexed hypotheses alongside group-level public state.,"Adds organizational authority, artifact transition, and contestability.",NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0009,PCC-C05,SRC-0010,Common Ground Tracking uses closure and update operations to model movement toward common ground.,A formal precedent for evidence-to-shared-state transition.,Recasts the transition as defeasible public warrant for action-guiding commitment.,Tests whether promotion is justified when alternatives imply different actions.,NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0010,PCC-C08,SRC-0019,The cross-linguistic repair coding scheme provides a structured annotation precedent for interactional trouble and repair.,Explicit evidence spans and repair categories.,Treats repair as an optional response after diagnosis rather than proof of grounding.,Adds machine-generated evidence cards and human contestation outcomes.,METHOD_BORROWED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0011,PCC-C04,SRC-0002,Asher and Lascarides provide a formal account of public commitments and their relationship to private attitudes.,Public commitment as an established construct.,Separates attributed state from publicly licensed action state.,"Adds explicit warrant, artifacts, authority, and downstream consequence.",INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0012,PCC-C05,SRC-0002,Formal dialogue commitments constrain what can be coherently maintained in public interaction.,Commitment-state transition as theoretical lineage.,Targets promotion into workplace coordination commitment rather than dialogue commitment alone.,Requires inspectable evidence and allows abstention or challenge.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0013,PCC-C04,SRC-0003,"Dynamic commitment semantics models how ambiguity, acknowledgement, and correction alter public commitments.",Ambiguity-conditioned commitment dynamics.,Focuses on action-critical variables and situated organizational context.,Adds explicit evidence localization and participant-facing review.,NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0014,PCC-C05,SRC-0003,The model includes conditions under which commitments can become common and later be revised.,A transition-oriented comparator for promotion.,Defines a defeasible warrant record rather than relying only on dialogue-act semantics.,"Connects promotion to role, artifact, and workflow consequences.",NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0015,PCC-C05,SRC-0004,"The exact 1997 model embeds actor-associated public/shared commitments in cooperative activity, supplies explicit Transparency and Discussion update rules, and connects commitments to linguistic and physical action.",Public/shared uptake and consequence-bearing commitment transition as established prior mechanisms.,Recasts conversational response rules as a defeasible evidence-sufficiency judgment over promotion of an action-sensitive task-variable interpretation.,Adds formal organizational authority and permission; durable artifact/workflow governance; calibrated abstention; participant-facing diagnostic rationale and contestation; and direct evaluation.,NEAR_EQUIVALENT,"Printed pp. 92-95; especially Transparency and Discussion rules p. 94 and multimodal block example p. 95",fulltext_verified
CP-0016,PCC-C01,SRC-0006,Expected Value of Perfect Information has been used to rank clarification questions.,Utility-sensitive selection of clarification targets.,Uses the principle first to select coordination-critical variables.,Combines selection with actor-indexed state and public-warrant diagnosis.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0017,PCC-C06,SRC-0006,Clarification-question ranking formalizes the value of resolving uncertainty before action.,Counterfactual value of information.,Compares materially different downstream coordination plans.,Connects action divergence to evidence-backed promotion control.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0018,PCC-C01,SRC-0008,Decision-theoretic reference resolution selects questions based on expected task utility.,Task-slot and utility-sensitive ambiguity handling.,"Generalizes beyond reference resolution to time, authority, resource, status, and scope variables.",Adds public-state and contestability layers.,METHOD_BORROWED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0019,PCC-C06,SRC-0008,The model connects uncertainty about a referent to consequences of alternative actions.,Decision consequence as a relevance criterion.,Uses explicit counterfactual plans under organizational context.,Records consequence differences in a diagnostic card.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0020,PCC-C06,SRC-0007,Expected-regret model and two experiments connect uncertainty and response/action cost to clarification versus action.,Uses the uncertainty-cost tradeoff and explicit alternative actions.,Uses action sensitivity as a detection criterion rather than equating regret with public warrant.,"Adds multi-actor public promotion, organizational context, persistent artifacts, and contestability.",INHERITED,"PDF p. 5, Computational Model equations; pp. 3-4 Experiment 2 Results",fulltext_verified
CP-0021,PCC-C07,SRC-0007,Expected regret supplies a soft threshold for clarification rather than immediate action.,Uses a principled basis for abstention or clarification.,Makes abstention an inspectable diagnostic output rather than an autonomous choice policy.,Evaluates incomplete-context diagnostics and human challenge.,ADAPTED,PDF p. 5 clarification equation; p. 6 Discussion,fulltext_verified
CP-0022,PCC-C04,SRC-0017,CSCW articulation-work research describes how cooperative activity blends improvisation with predefined workflow.,Situated coordination and workflow context.,Uses workflow as evidence and constraint rather than as a proxy for shared understanding.,Connects workflow state to warrant and action consequences.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0023,PCC-C05,SRC-0017,Articulation work explains how actors coordinate dependencies not captured by a single formal workflow.,The need to represent both public practice and formal structure.,Operationalizes a promotion decision over a bounded task variable.,Makes otherwise implicit transition assumptions auditable.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0024,PCC-C08,SRC-0018,Barcode-medication research shows that articulation work can be invisible in process representations and transformed by automation.,Attention to invisible coordination work and persistent artifacts.,Uses evidence cards to expose latent assumptions rather than automate their resolution.,Evaluates diagnostic usefulness and false-positive burden.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0025,PCC-C08,SRC-0024,Explainable human-AI collaboration work connects behavior explanation to task and collaborator models.,Inspectability of task- and collaborator-relevant reasoning.,Explains a bounded discrepancy and its evidence rather than a complete agent policy.,Adds contestability and explicit public-warrant fields.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0026,PCC-C07,SRC-0034,Evidence indicates that uncertainty displays alone may not improve collaboration or user mental models.,A boundary condition against treating confidence display as sufficient.,"Pairs uncertainty with evidence, alternatives, and capability limits.",Tests calibrated reliance and willingness to disagree with the diagnostic.,BOUNDARY_CONDITION,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0027,PCC-C08,SRC-0034,Capability-focused guidance can improve correct self-reliance when raw uncertainty displays do not.,Capability and limitation communication.,Frames diagnostic records around evidence and action consequence.,Evaluates whether reviewers can contest or reject the output.,BOUNDARY_CONDITION,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0028,PCC-C07,SRC-0033,Robust abstention work pairs selective prediction with local counterfactual explanation.,Abstention as a valid output.,Applies abstention to insufficient evidence for coordination-state diagnosis.,Records what evidence is missing and what alternative would change the decision.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0029,PCC-C08,SRC-0033,Counterfactual explanations can explain why a decision was issued or withheld.,Counterfactual explanatory structure.,Uses competing interpretations and downstream plans rather than feature-only perturbations.,Supports human challenge and evidence-span review.,METHOD_BORROWED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0030,PCC-C05,SRC-0021,ProvenanceGuard implements a three-stage pre-execution allow/block gate using traceable contextual justification.,Adopts evidence-gated consequential action as an architectural comparator.,Targets public promotion of a shared interpretation rather than alignment of one agent tool call alone.,"Adds multi-actor uptake, authority, persistent artifact state, and contestation.",NEAR_EQUIVALENT,"PDF pp. 4-6, sections 4.2-4.3 and Table 1",fulltext_verified
CP-0031,PCC-C08,SRC-0021,"The framework defines relation-specific contextual evidence traces for tool, parameter, and interpretation checks.",Adopts inspectable traceable support for a consequential transition.,"Uses transcript, artifact, policy, and role evidence in a participant-facing diagnostic record.","Adds evidence correction, appeal, and evaluation of participant-facing utility.",METHOD_BORROWED,"PDF pp. 3-6, sections 4.1-4.3; participant-facing trace evaluation not reported",fulltext_verified
CP-0032,PCC-C08,SRC-0023,Work on combining explanations with uncertainty motivates evaluating the interaction between rationale and confidence.,Combined rationale and uncertainty display.,Uses evidence-backed hypotheses and explicit limits.,"Measures calibration, disagreement, and overreliance.",BOUNDARY_CONDITION,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0033,PCC-C02,SRC-0011,MindDial tracks belief dynamics in situated dialogue using Theory-of-Mind modeling.,Dynamic actor-related state tracking.,Restricts the representation to observable task interpretations and commitments.,Adds public-warrant and action-sensitive promotion analysis.,NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0034,PCC-C03,SRC-0011,MindDial supplies a dynamic Theory-of-Mind comparator for situated dialogue generation.,Temporal update of partner models.,Evaluates diagnosis rather than dialogue generation.,Separates second-order contribution from first-order state through ablation.,NEAR_EQUIVALENT,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0035,PCC-C04,SRC-0012,Knowledge modeling has been used to support establishment of common ground in dialogue systems.,Structured contextual knowledge as grounding evidence.,"Treats knowledge sources as defeasible evidence, not automatic shared commitment.",Adds promotion status and downstream consequence.,INHERITED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0036,PCC-C08,SRC-0013,Grounding-act and grounding-unit annotation provides an empirical method for locating public evidence.,Span-level grounding annotation.,Links evidence to typed coordination variables and warrant judgments.,Adds contestable discrepancy-card evaluation.,METHOD_BORROWED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0037,PCC-C07,SRC-0009,Predictive uncertainty has been aligned with clarification behavior in grounded dialogue.,Uncertainty-sensitive clarification.,Requires material action divergence and public-evidence deficits before flagging.,"Evaluates abstention under zero, partial, and full context.",ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
CP-0038,PCC-C06,SRC-0009,Grounded-dialog clarification work links uncertainty to whether clarification is appropriate.,Action relevance of unresolved uncertainty.,Uses explicit counterfactual downstream plans.,Connects the decision to promotion into coordination commitment.,ADAPTED,Full-text locator pending; see imported Elicit matrices.,imported_unverified
